id,index,text,target,BERT-2e359f0b,LSTM-GloVe-8b7db91c,LSTM_DROPOUT-GloVe-8b7db91c,BI_LSTM-GloVe-8b7db91c,LSTM_CNN-GloVe-8b7db91c,FASTTEXT-GloVe-8b7db91c,RCNN-GloVe-71bd09db,CNN-GloVe-d3cc3c6e,RNN-GloVe-7bc816a1,GRU-GloVe-8b7db91c,HAN-GloVe-a85c8435,LSTM-71bd09db,LSTM_DROPOUT-d3cc3c6e,BI_LSTM-8b7db91c,LSTM_CNN-8b7db91c,FASTTEXT-b054e509,RCNN-7bc816a1,CNN-b054e509,RNN-1258a9d2,GRU-b054e509,HAN-a85c8435,RIDGE-2e359f0b,SVC-4c2e484d,LOGISTIC_REGRESSION-8b7db91c,SGD-2e359f0b,DECISION_TREE-7bc816a1,RANDOM_FOREST-60314ef9
109,1140,Leicester_Merc : ICYMI - #Ashes 2015: Australia collapse at Trent Bridge - how Twitter reaÛ_ http://t.co/HqeWMREysO) http://t.co/y4y8fclJED,0,0.588258,0.7625,0.956836,0.654288,0.713084,0.767774,0.85221,0.9444670000000001,0.907809,0.820026,0.806389,0.964082,0.9260299999999999,0.9771790000000001,0.937787,0.9347200000000001,0.929931,0.916949,0.9628209999999999,0.93499,0.952081,1,1,1,1,1,1
114,1241,Watch how bad that fool get burned in coverage this year. Dat dude is all-pro practice squad material,1,0.012123,0.07576799999999999,0.049852999999999995,0.027456,0.048007999999999995,0.044162,0.112298,0.07253899999999999,0.0646,0.027855,0.042355000000000004,0.120127,0.09328600000000001,0.460121,0.052101,0.15314,0.073939,0.073965,0.093626,0.179558,0.180143,0,0,0,0,0,0
212,2199,Why is CHURCH media and #Media420 silent when #PapiCongress has demolished the house of a journo in UK @pragnik,1,0.234792,0.198261,0.486201,0.206485,0.176929,0.44698699999999997,0.384813,0.47909799999999997,0.300371,0.168514,0.135708,0.346953,0.229071,0.039141,0.023353,0.334474,0.173474,0.47065100000000004,0.104598,0.466858,0.076066,0,0,0,0,0,0
294,2910,Sure the #Megaquake story brought a sense of panic but the question is: will anything really change? http://t.co/9f3rDN9N3D,1,0.122145,0.143225,0.080274,0.079088,0.053520000000000005,0.077205,0.179134,0.051712,0.033915,0.060751,0.07380700000000001,0.052417,0.103549,0.020717,0.015537,0.058955999999999995,0.008634000000000001,0.045504,0.031584,0.105553,0.005012,0,0,0,0,0,0
301,2963,Do babies actually get electrocuted from wall sockets? I'm wondering how I and those before me survived childhood.,1,0.084491,0.057615,0.112631,0.027387,0.107156,0.041696,0.15803299999999998,0.077691,0.065968,0.09474500000000001,0.050012,0.10639100000000001,0.08607000000000001,0.49343000000000004,0.052746,0.108503,0.280062,0.021044999999999998,0.21504299999999998,0.073196,0.13886600000000002,0,0,0,0,0,0
410,4159,Gov. Brown allows parole for 1976 Chowchilla school bus hijacker James Schoenfeld. http://t.co/GlWoAKppjq http://t.co/WlLfLFnDgG,0,0.561164,0.677515,0.8225450000000001,0.649673,0.729561,0.718061,0.714188,0.858766,0.585797,0.633246,0.8432959999999999,0.9569780000000001,0.932709,0.938472,0.981297,0.850291,0.93332,0.9614440000000001,0.881165,0.9611639999999999,0.8546520000000001,1,1,1,1,1,1
421,4311,#kick #hurricane Seriously #simple websites: http://t.co/x8W7tF6FHg Looking For A Seriously Simple Program To http://t.co/9NZ9zFM93i,1,0.006177,0.192984,0.271911,0.070474,0.033535,0.200277,0.033936,0.03416,0.06249299999999999,0.400127,0.259248,0.05899,0.116218,0.06237,0.060752,0.250184,0.028738999999999997,0.203759,0.071162,0.134028,0.035063,0,0,0,0,0,0
447,4524,dogs Lightning reshapes rocks at the atomic level - A lightning strike can reshape a mineral's crystal structure ... http://t.co/2Wvmij5SA4,0,0.8320209999999999,0.963173,0.93281,0.981741,0.92809,0.990576,0.927832,0.906277,0.9612629999999999,0.959096,0.9566620000000001,0.967511,0.9440040000000001,0.982123,0.984817,0.952257,0.9716879999999999,0.96619,0.919725,0.947737,0.9859629999999999,1,1,1,1,1,1
489,4926,Watch Sarah Palin OBLITERATE Planned Parenthood For Targeting Minority Women! ÛÒ BB4SP http://t.co/Dm0uUpqGWY,1,0.115123,0.148323,0.152702,0.16353900000000002,0.179021,0.198674,0.20014300000000002,0.083715,0.46619700000000003,0.268486,0.301718,0.042472,0.09170700000000001,0.031564,0.038332,0.050258,0.02506,0.017872,0.063551,0.07212,0.030922,0,0,0,0,0,0
698,7019,Windstorm lastingness perquisite - acquiesce in a twister retreat: ZiUW http://t.co/iRt4kkgsJx,1,0.15367999999999998,0.452474,0.14977000000000001,0.11255899999999999,0.20972800000000003,0.148954,0.203683,0.14541300000000001,0.18499100000000002,0.141218,0.340433,0.13738399999999998,0.367373,0.044441,0.059553999999999996,0.398461,0.018789,0.34076799999999996,0.069759,0.495699,0.199976,0,0,0,0,0,0
744,166,Statistically I'm at more of risk of getting killed by a cop than I am of dying in an airplane accident.,0,0.540764,0.9776950000000001,0.973571,0.903702,0.945825,0.963684,0.901943,0.736537,0.933858,0.9679120000000001,0.8701209999999999,0.87902,0.931631,0.9278780000000001,0.9085979999999999,0.972497,0.993343,0.844499,0.976824,0.9404549999999999,0.953462,1,1,1,1,1,1
904,1668,Santa Fe Springs Studebaker Rd / South St **Trfc Collision-No Inj** http://t.co/6uHih9pbrU,0,0.9788950000000001,0.929618,0.976426,0.921999,0.959139,0.841691,0.8170149999999999,0.9464809999999999,0.9226629999999999,0.952736,0.949785,0.9617760000000001,0.9623649999999999,0.9728889999999999,0.976024,0.8508290000000001,0.989692,0.892776,0.978958,0.855999,0.9246129999999999,1,1,1,1,1,1
908,1704,HTML5 Beginners Crash Course http://t.co/Y32oWBroVF #course http://t.co/Vr2U4cErW8,1,0.026188999999999997,0.050871,0.065327,0.049741,0.146926,0.081477,0.15201800000000001,0.067245,0.053570000000000007,0.080535,0.199467,0.07848,0.183649,0.180195,0.337555,0.24281799999999998,0.18996300000000002,0.108641,0.082848,0.11657000000000001,0.35475300000000004,0,0,0,0,0,0
925,1927,@MichaelWestBiz standard damage control,1,0.16180999999999998,0.084726,0.157358,0.139,0.118906,0.11887,0.261973,0.242348,0.133445,0.140689,0.15654500000000002,0.126697,0.040449,0.033102,0.032299,0.21880300000000003,0.222834,0.133391,0.015986,0.052226999999999996,0.287184,0,0,0,0,0,0
928,1953,SO THIRSTY YALL IN DANGER OF DEHYDRATION,1,0.097268,0.038537,0.02975,0.080786,0.183384,0.058417,0.406959,0.310539,0.05234400000000001,0.11349000000000001,0.192098,0.07070800000000001,0.044516,0.017501,0.027333,0.159671,0.03784,0.110457,0.0049960000000000004,0.028024,0.40266399999999997,0,0,0,0,0,0
1172,4607,http://t.co/FhI4qBpwFH @FredOlsenCruise Please take the #FaroeIslands off your itinerary until the mass murder of dolphins &amp; whales stops.,0,0.888388,0.9620540000000001,0.916065,0.9354959999999999,0.870287,0.896017,0.6266550000000001,0.789809,0.9295700000000001,0.9416260000000001,0.894381,0.628574,0.8464,0.921057,0.8877729999999999,0.8946370000000001,0.991208,0.8517100000000001,0.836167,0.918594,0.692487,1,1,1,1,1,1
1357,6291,"Truth...
https://t.co/h6amECX5K7
#News
#BBC
#CNN
#Islam
#Truth
#god
#ISIS
#terrorism
#Quran
#Lies http://t.co/B8iWRdxcm0",0,0.8589399999999999,0.810236,0.6516149999999999,0.788801,0.7374189999999999,0.77859,0.839326,0.894497,0.648044,0.795604,0.81405,0.950923,0.937684,0.926594,0.936456,0.8845350000000001,0.956377,0.945284,0.8652299999999999,0.975405,0.915334,1,1,1,1,1,1
1358,6299,"Truth...
https://t.co/beJfTYgJIL
#News
#BBC
#CNN
#Islam
#Truth
#god
#ISIS
#terrorism
#Quran
#Lies http://t.co/jlCZiDZ7Vu",0,0.8589399999999999,0.810236,0.6516149999999999,0.788801,0.7374189999999999,0.77859,0.839326,0.894497,0.648044,0.795604,0.81405,0.950923,0.937684,0.926594,0.936456,0.8845350000000001,0.956377,0.945284,0.8652299999999999,0.975405,0.915334,1,1,1,1,1,1
1368,6413,"Conditions for Paris FR at 4:00 am CEST: Current Conditions:
Fair 68 FForecast:
Thu - Sunny. High: 87 Low: 61
Fri - PM Thunderstorm...",0,0.980032,0.9170950000000001,0.9117770000000001,0.91271,0.836102,0.8920520000000001,0.8708600000000001,0.871492,0.8898959999999999,0.9190780000000001,0.9082309999999999,0.9445049999999999,0.9594530000000001,0.9198879999999999,0.936175,0.9608959999999999,0.937858,0.97098,0.9197780000000001,0.928006,0.947019,1,1,1,1,1,1
1387,6597,@canagal Good to hear it's back.. that storm's been given you guys trouble though :( ^SJ,1,0.326491,0.12308399999999999,0.188593,0.11708900000000001,0.154778,0.117069,0.035459,0.079726,0.172181,0.203381,0.2791,0.044744,0.046682,0.044771,0.10142799999999999,0.034557,0.090913,0.02562,0.0486,0.023738,0.076602,0,0,0,0,0,0
1411,6900,@NRO Except when ordered not to carry unauthorized weapons while on duty or in military uniforms. THATS THE RULE FOOL,1,0.27479699999999996,0.047451,0.076679,0.033253,0.04258,0.039914,0.24064499999999997,0.107293,0.05905,0.045972000000000006,0.061146000000000006,0.15944,0.18879,0.180454,0.094734,0.225744,0.20883000000000002,0.140315,0.13956,0.243473,0.201265,0,0,0,0,0,0
1582,1169,@zourryart I forgot to add the burning buildings and screaming babies,1,0.419919,0.207858,0.121749,0.10697100000000001,0.18912400000000001,0.152804,0.098705,0.185892,0.14662999999999998,0.147695,0.163983,0.036169,0.049543000000000004,0.020848,0.043934,0.098919,0.22853099999999998,0.140295,0.072712,0.09627000000000001,0.081426,0,0,0,0,0,0
1788,3032,When your body's like 'go to fuck to sleep Sami' and your mind's like 'make an emergency plan for every natural disaster GO',1,0.051588,0.052192999999999996,0.024567,0.097027,0.082849,0.177287,0.05776900000000001,0.16281199999999998,0.234062,0.066208,0.021356,0.035338999999999995,0.036274,0.015768,0.060888,0.030779,0.029970999999999998,0.122241,0.012471,0.044383,0.009328,0,0,0,0,0,0
1853,3667,@gilderoy i wish i was good enough to add flames to my nails im on fire,1,0.011454,0.192625,0.080108,0.04941,0.084616,0.058927,0.118381,0.195426,0.069486,0.036465,0.079404,0.03,0.043328,0.023199,0.042934,0.041206,0.022441,0.019025999999999998,0.035302,0.02219,0.016405,0,0,0,0,0,0
1876,3978,@malistkiss Sunnis continue to believe they are more righteous and they continually harm Shias. Defeats the ideals of Islam.,1,0.140753,0.070201,0.170494,0.19987,0.158772,0.252449,0.265183,0.076887,0.368976,0.303644,0.27460500000000004,0.124404,0.045488,0.019649,0.027264999999999998,0.074284,0.016996,0.028511,0.021168,0.07387,0.181699,0,0,0,0,0,0
2103,6386,I hear lightening and see thunder,1,0.44426099999999996,0.126854,0.441993,0.311529,0.239771,0.240306,0.151298,0.08732999999999999,0.40459,0.30545900000000004,0.11346300000000001,0.037794,0.037441,0.458013,0.036128,0.123926,0.027356000000000002,0.062270000000000006,0.04734,0.093443,0.16398900000000002,0,0,0,0,0,0
