id,keyword,location,text,target,Correct Prediction,BERT-8b7db91c,LSTM_DROPOUT-GloVe-8b7db91c,GRU-GloVe-8b7db91c
5,,,We're shaking...It's an earthquake,1,1,0.7998757958399999,0.45903301238999994,0.58273136616
15,ablaze,London,Birmingham Wholesale Market is ablaze BBC News - Fire breaks out at Birmingham's Wholesale Market http://t.co/irWqCEZWEU,1,1,0.9713668823200001,0.49039512873,0.74476641417
20,ablaze,threeonefive.,beware world ablaze sierra leone &amp; guap.,0,0,0.7494060993199999,0.14022399485,0.10732026398
25,ablaze,"scarborough, ontario",@CTVToronto the bins in front of the field by my house wer set ablaze the other day flames went rite up the hydro pole wonder if it was him,0,0,0.61948740482,0.30917569995,0.17144612967999998
32,accident,USA,#3: Car Recorder ZeroEdgeå¨ Dual-lens Car Camera Vehicle Traffic/Driving History/Accident Camcorder Large Re... http://t.co/kKFaSJv6Cj,0,0,0.13653427362,0.9208753109000001,0.90830892324
42,accident,,@Calum5SOS this happened on accident but I like it http://t.co/QHmXuljSX9,0,0,0.14012119174,0.78506785631,0.6637994051
43,accident,Las Vegas,Please donate and spread the word! A training accident left the pole-vaulter Kira GrÌ_nberg a paraplegic http://t.co/6MpnyCl8PK,0,0,0.3378739953,0.67039221525,0.42421030998000003
66,airplane%20accident,inland empire ca,@god if an accident were to happen on this airplane idc if the rest of my luggage is completely destroyed just please save my makeup,0,0,0.12418895960000001,0.68482130766,0.7111169695899999
70,airplane%20accident,#BlackLivesMatter,@thugIauren I had myself on airplane mode by accident ??,0,0,0.08375838399,0.39363339543000003,0.5106567144399999
85,ambulance,"West Chester, PA",Why should a helicopter ambulance ride to transfer to a hospital 21 miles away cost $29800? http://t.co/7ZqIreY7Te http://t.co/9Qp3PqPwZv,1,1,0.20826694369000004,0.88037198782,0.9091468453399999
90,annihilated,"eileenborut,webster, tx",@RosieGray Now in all sincerety do you think the UN would move to Israel if there was a fraction of a chance of being annihilated?,0,0,0.63381385803,0.33038786054,0.48247537017
97,annihilated,upstate NY,@thehill this is 1 example of y the Conservatives annihilated Burton v Wiimington Prkng Auth while Liberals stood by &amp;have done nothing,1,1,0.51230627298,0.08847664297,0.05792834982000001
98,annihilated,,"Aug 3 1915ÛÓKAISERJAEGERS WIPED OUT.; Francis Joseph's Crack Regiment Annihilated on Carso Plateau.
http://t.co/D1sPSwl66H",1,1,0.7968804836300001,0.10577016323999999,0.15673105419000002
106,annihilation,Colorado,U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... https://t.co/lATVr8RZCK via @Change,0,0,0.27397310734,0.6079394817399999,0.47064578533
109,annihilation,"Plovdiv, Bulgaria",U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... https://t.co/W5Rhtuey90 via @Change,0,0,0.27397310734,0.6079394817399999,0.47064578533
110,annihilation,California,U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... https://t.co/ZhXua8kmae via @Change,1,1,0.27397310734,0.6079394817399999,0.47064578533
114,annihilation,U.S.A.,U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... https://t.co/d82wlcP49S via @Change,1,1,0.27397310734,0.6079394817399999,0.47064578533
115,annihilation,Arizona,U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... https://t.co/KAlDycTC4H via @Change,0,0,0.27397310734,0.6079394817399999,0.47064578533
