id,keyword,location,text,target,Correct Prediction,LSTM-71bd09db,LSTM_DROPOUT-d3cc3c6e,BI_LSTM-8b7db91c,LSTM_CNN-8b7db91c,FASTTEXT-b054e509,RCNN-7bc816a1,CNN-b054e509,RNN-1258a9d2,GRU-b054e509,HAN-a85c8435
0,,,Just happened a terrible car crash,1,1,0.47367343310000004,0.5808747411,0.45078217979999996,0.3524038792,0.5109418631,0.7512003183,0.8024517298,0.2507404089,0.42454028130000004,0.540661931
1,,,"Heard about #earthquake is different cities, stay safe everyone.",1,1,0.7750418186,0.4874612093,0.3937221766,0.5595436096,0.5082849264,0.4572783709,0.6149588823,0.305599153,0.2994822264,0.5789571404
5,,,We're shaking...It's an earthquake,1,1,0.560022831,0.5432706475,0.1430377662,0.1566051543,0.5048418641,0.20066809649999998,0.6827791333,0.1131775081,0.5608389378,0.5385965109
21,ablaze,Washington State,Burning Man Ablaze! by Turban Diva http://t.co/hodWosAmWS via @Etsy,0,0,0.28850924969999997,0.3531362414,0.5166443586,0.4262647629,0.3870826364,0.3102591336,0.4467564821,0.2144684494,0.19382524489999997,0.3798905313
25,ablaze,"scarborough, ontario",@CTVToronto the bins in front of the field by my house wer set ablaze the other day flames went rite up the hydro pole wonder if it was him,0,0,0.5731933117,0.3865121007,0.2240208089,0.3032403588,0.5172572136,0.3447158337,0.30119287969999997,0.22654506559999998,0.3712995648,0.2817730904
27,ablaze,"121 N La Salle St, Suite 500",Burning Rahm': Let's hope City Hall builds a giant wooden mayoral effigy 100 feet tall &amp; sets it ablaze. http://t.co/kFo2mksn6Y @John_Kass,0,0,0.2877784371,0.6153756976,0.24774193760000002,0.30924916269999997,0.38091516490000005,0.42866498229999994,0.44541686770000005,0.4109409153,0.5846853256,0.2703738213
31,accident,,I hate badging shit in accident,0,0,0.4754931629,0.4310707152,0.1023454964,0.1616695225,0.4170312583,0.1681963205,0.34691238399999996,0.1050848365,0.2003426254,0.6164701581
33,accident,Massachusetts,Coincidence Or #Curse? Still #Unresolved Secrets From Past http://t.co/7VG8Df9pLE #accident,0,0,0.2974301875,0.42083629969999997,0.31213814019999997,0.5927619934,0.4013027251,0.2898081541,0.4210864305,0.4965061545,0.2133201659,0.34462895990000003
34,accident,Bexhill,@Traffic_SouthE @roadpol_east Accident on A27 near Lewes is it Kingston Roundabout rather than A283,1,1,0.8282690048000001,0.8795095681999999,0.28991603850000003,0.2177139223,0.6571480632,0.3699213862,0.7282485366,0.2945435345,0.7023075819,0.7361354828
36,accident,,For Legal and Medical Referral Service @1800_Injured Call us at: 1-800-465-87332 #accident #slipandfall #dogbite,0,0,0.7763534784,0.7550858259000001,0.1530131102,0.2406526506,0.6630852222,0.5320497751,0.7648852468,0.3166188002,0.5235795975,0.5869088768999999
41,accident,"Gresham, OR",ACCIDENT - HIT AND RUN - COLD at 500 BLOCK OF SE VISTA TER GRESHAM OR [Gresham Police #PG15000044357] 10:35 #pdx911,1,1,0.8071016073,0.6702549458,0.2933081686,0.18640610579999997,0.5481809974,0.5700423717,0.4179314375,0.4148982465,0.2454150021,0.6834653615999999
42,accident,,@Calum5SOS this happened on accident but I like it http://t.co/QHmXuljSX9,0,0,0.2031227648,0.579649806,0.3139678538,0.3958227932,0.5003567934,0.1313785911,0.23856246469999998,0.4034924805,0.21920621399999998,0.38209587340000006
43,accident,Las Vegas,Please donate and spread the word! A training accident left the pole-vaulter Kira GrÌ_nberg a paraplegic http://t.co/6MpnyCl8PK,0,0,0.4790335,0.8276596069,0.8239103556,0.7205950618000001,0.6084554791,0.6932172179,0.3861908317,0.6397663951,0.38944920899999996,0.5267448425
48,aftershock,California,When the aftershock happened (Nepal) we were the last int'l team still there; in a way we were 1st responders.' Chief Collins @LACo_FD,1,1,0.6448794603,0.642460525,0.1517068446,0.1548177898,0.6921399831999999,0.4719541371,0.6046714187,0.2736955285,0.8981785774,0.6685213447
55,aftershock,304,There is no victory at bargain basement prices.' Dwight David Eisenhower,0,0,0.5265105367,0.1854823232,0.08844259381000001,0.09444752336000001,0.10684615369999999,0.19226646420000001,0.1061386466,0.07671114802,0.06587135792,0.3422595263
61,airplane%20accident,"California, USA",@rewind_music found out about you guys today(regarding the accident on the airplane lol) &amp; became a fan! Sending love &amp; support from Cali~?,1,1,0.4096669257,0.41769427060000003,0.38828492159999994,0.3799260557,0.19560283420000002,0.5880326629,0.2303363085,0.3084723353,0.2013902068,0.3073395193
62,airplane%20accident,,A girl who died in an airplane accident fifteen years ago,1,1,0.8495398164,0.8910440206999999,0.8846137524,0.5895777345000001,0.733887136,0.8192049265000001,0.9212080836,0.4834258258,0.8748594521999999,0.7840686440000001
63,airplane%20accident,,@Mintechan Hihow are you? There is Keio line on the stationright? BTW do you know the airplane accident near Chofu airport this week?,1,1,0.35492280130000003,0.4086483419,0.8765200377,0.8602172136,0.5025683045,0.9620367289,0.5573754311,0.5459718704,0.18635010719999998,0.5182205439
66,airplane%20accident,inland empire ca,@god if an accident were to happen on this airplane idc if the rest of my luggage is completely destroyed just please save my makeup,0,0,0.6133112311,0.7478110790000001,0.5858368874000001,0.27270603179999997,0.1964560449,0.5913698673,0.26555091140000003,0.3088906407,0.2306604385,0.320420742
71,airplane%20accident,USA - Global Online Sales,36 years ago today baseball lost one of its greats in an airplane accident. RIP Captain. #Yankees @yankees http://t.co/iNKU28vjJj,1,1,0.8160758615000001,0.795801878,0.5363394618,0.3958470821,0.7334454656,0.6489064097,0.8092864752,0.5770102143,0.6769602298999999,0.5372141004
